_id,capacity,product
ObjectId(56e013d651cd417410609396),999,ObjectId(56e013d651cd417410609394)
ObjectId(56e013d651cd417410609397),100,ObjectId(56e013d651cd417410609395)
ObjectId(56e7d5b5b7fd768a14282930),100,ObjectId(56e7d5b5b7fd768a1428292f)
ObjectId(56e7d88fe197300c164d321a),998,ObjectId(56e7d88fe197300c164d3219)
ObjectId(56ef2782b25d858954fd7223),127,ObjectId(56ef2782b25d858954fd7222)
ObjectId(56f1ad68b25d858954fd7242),30,ObjectId(56f1ad68b25d858954fd7241)
ObjectId(56f1b084b25d858954fd7249),86,ObjectId(56f1b084b25d858954fd7248)
ObjectId(56f1b163b25d858954fd724c),3,ObjectId(56f1b163b25d858954fd724b)
ObjectId(56f981c1fbc95ecd2014460e),34,ObjectId(56f981c1fbc95ecd2014460d)
ObjectId(57fbb4b7774b3f1d42ca2598),70,ObjectId(57fbb4b7774b3f1d42ca2597)
ObjectId(57fbb7e5774b3f1d42ca259b),24,ObjectId(57fbb7e5774b3f1d42ca259a)
